Date,Price,Marketing_Spend,Economic_Index,Seasonality_Index,Units_Sold,Unit_Cost,Total_Cost,Revenue,Profit,Accounts_Receivable,Inventory,Accounts_Payable,Current_Liabilities,Current_Assets
2023-01-01,57.49080237694725,16092.275383467415,105.15499761247976,1.0,29197,28.92558998489978,844540.4507891189,1678558.956999729,834018.50621061,0.0,802873.2287142155,1110628.5380240467,1209911.0607295767,2136891.7349248254
2023-01-31,69.01428612819832,11953.442280127678,104.65640059558099,1.05,21371,25.393422419156508,542682.8305197938,1474904.3088457263,932221.4783259325,1655564.9986846638,1229967.9909597705,713665.0921904137,775767.8557659888,5151772.974180977
2023-03-02,64.6398788362281,23684.660530243138,95.80391238388681,1.0866025403784438,29613,28.074401551640626,831367.2531487339,1914180.731977223,1082813.478828489,1454700.1402314012,1218891.0373183754,1093304.8808531293,1176911.6582234232,6022644.640914807
2023-04-01,61.97316968394073,18803.04987479203,98.45393812074393,1.1,28448,28.96091299923493,823880.0530022354,1763012.731168746,939132.6781665107,1887959.078114521,1015918.0512050934,1083458.6998385561,1171539.680604992,7192063.270851156
2023-05-01,53.12037280884873,12440.764696895576,101.65631715701782,1.0866025403784438,29624,23.18003474971864,686685.349425665,1573637.9240893347,886952.5746636697,1738861.8718376672,1039189.588997945,903038.2677378607,964920.1449374807,7953190.177030824
2023-05-31,53.11989040672405,19903.538202225405,104.8777256356118,1.05,33289,21.100519245276768,702415.1851560184,1768308.031749437,1065892.8465934186,1552081.2401977,982574.3420685658,923724.0791092843,1010134.8965398773,8775687.145054895
2023-06-30,51.16167224336399,10687.770422304367,97.60412881077355,1.0,29810,22.279351625419416,664147.4719537528,1525129.4495746805,860981.9776209277,1744084.6340542394,1093359.526854128,873399.4151720584,941788.571808021,9939457.701317925
2023-07-30,67.3235229154987,28186.40804157564,99.07170511668092,0.9500000000000001,30449,24.271077886262564,739030.0505588088,2049933.94925402,1310903.898695211,1504237.2653339314,1112195.53840213,971875.1349814472,1053490.426511126,11029350.24284083
2023-08-29,62.022300234864176,15175.59963200034,94.46832512996986,0.9133974596215562,26677,28.18014765922493,751761.7991051434,1654568.9033654716,902807.1042603282,2021852.6622779374,1254965.6700697872,988618.2563574489,1070294.7418954936,12592542.875712821
2023-09-28,64.1614515559209,23250.445687079642,94.01896687959665,0.9,29652,28.607305832563434,848263.8325471709,1902515.3615361666,1054251.5289889956,1631903.5759221092,974992.740809218,1115525.0400620329,1192313.7742657708,12976872.38908542
